Simulation_ID,Condition_designed,Condition_reviewed,Macro_State
a-cdk1-pt14-py15-pt161_b-ccnb1-166_1atp_seed-134018_sample-0_model,"cdk1-pt14-py15-pt161
ccnb1
[1atp]","cdk1-pt14-py15-pt161
ccnb1
[1atp]",State 1
a-cdk1-pt14-py15-pt161_b-ccnb1-166_1atp_seed-134018_sample-1_model,"cdk1-pt14-py15-pt161
ccnb1
[1atp]","cdk1-pt14-py15-pt161
ccnb1
[1atp]",State 1
a-cdk1-pt14-py15-pt161_b-ccnb1-166_1atp_seed-134018_sample-2_model,"cdk1-pt14-py15-pt161
ccnb1
[1atp]","cdk1-pt14-py15-pt161
ccnb1
[1atp]",State 1
a-cdk1-pt14-py15-pt161_b-ccnb1-166_1atp_seed-134018_sample-3_model,"cdk1-pt14-py15-pt161
ccnb1
[1atp]","cdk1-pt14-py15-pt161
ccnb1
[1atp]",State 1
a-cdk1-pt14-py15-pt161_b-ccnb1-166_1atp_seed-134018_sample-4_model,"cdk1-pt14-py15-pt161
ccnb1
[1atp]","cdk1-pt14-py15-pt161
ccnb1
[1atp]",State 1
a-cdk1-pt14-py15-pt161_b-ccnb1-166_1atp_seed-1538894_sample-0_model,"cdk1-pt14-py15-pt161
ccnb1
[1atp]","cdk1-pt14-py15-pt161
ccnb1
[1atp]",State 1
a-cdk1-pt14-py15-pt161_b-ccnb1-166_1atp_seed-1538894_sample-1_model,"cdk1-pt14-py15-pt161
ccnb1
[1atp]","cdk1-pt14-py15-pt161
ccnb1
[1atp]",State 1
a-cdk1-pt14-py15-pt161_b-ccnb1-166_1atp_seed-1538894_sample-2_model,"cdk1-pt14-py15-pt161
ccnb1
[1atp]","cdk1-pt14-py15-pt161
ccnb1
[1atp]",State 1
a-cdk1-pt14-py15-pt161_b-ccnb1-166_1atp_seed-1538894_sample-3_model,"cdk1-pt14-py15-pt161
ccnb1
[1atp]","cdk1-pt14-py15-pt161
ccnb1
[1atp]",State 1
a-cdk1-pt14-py15-pt161_b-ccnb1-166_1atp_seed-1538894_sample-4_model,"cdk1-pt14-py15-pt161
ccnb1
[1atp]","cdk1-pt14-py15-pt161
ccnb1
[1atp]",State 1
a-cdk1-pt14-py15-pt161_b-ccnb1-166_1atp_seed-1715179_sample-0_model,"cdk1-pt14-py15-pt161
ccnb1
[1atp]","cdk1-pt14-py15-pt161
ccnb1
[1atp]",State 1
a-cdk1-pt14-py15-pt161_b-ccnb1-166_1atp_seed-1715179_sample-1_model,"cdk1-pt14-py15-pt161
ccnb1
[1atp]","cdk1-pt14-py15-pt161
ccnb1
[1atp]",State 1
a-cdk1-pt14-py15-pt161_b-ccnb1-166_1atp_seed-1715179_sample-2_model,"cdk1-pt14-py15-pt161
ccnb1
[1atp]","cdk1-pt14-py15-pt161
ccnb1
[1atp]",State 1
a-cdk1-pt14-py15-pt161_b-ccnb1-166_1atp_seed-1715179_sample-3_model,"cdk1-pt14-py15-pt161
ccnb1
[1atp]","cdk1-pt14-py15-pt161
ccnb1
[1atp]",State 1
a-cdk1-pt14-py15-pt161_b-ccnb1-166_1atp_seed-1715179_sample-4_model,"cdk1-pt14-py15-pt161
ccnb1
[1atp]","cdk1-pt14-py15-pt161
ccnb1
[1atp]",State 1
a-cdk1-pt14-py15-pt161_b-ccnb1-166_1atp_seed-1748156_sample-0_model,"cdk1-pt14-py15-pt161
ccnb1
[1atp]","cdk1-pt14-py15-pt161
ccnb1
[1atp]",State 1
a-cdk1-pt14-py15-pt161_b-ccnb1-166_1atp_seed-1748156_sample-1_model,"cdk1-pt14-py15-pt161
ccnb1
[1atp]","cdk1-pt14-py15-pt161
ccnb1
[1atp]",State 1
a-cdk1-pt14-py15-pt161_b-ccnb1-166_1atp_seed-1748156_sample-2_model,"cdk1-pt14-py15-pt161
ccnb1
[1atp]","cdk1-pt14-py15-pt161
ccnb1
[1atp]",State 1
a-cdk1-pt14-py15-pt161_b-ccnb1-166_1atp_seed-1748156_sample-3_model,"cdk1-pt14-py15-pt161
ccnb1
[1atp]","cdk1-pt14-py15-pt161
ccnb1
[1atp]",State 1
a-cdk1-pt14-py15-pt161_b-ccnb1-166_1atp_seed-1748156_sample-4_model,"cdk1-pt14-py15-pt161
ccnb1
[1atp]","cdk1-pt14-py15-pt161
ccnb1
[1atp]",State 1
a-cdk1-pt14-py15-pt161_b-ccnb1-166_1atp_seed-1765157_sample-0_model,"cdk1-pt14-py15-pt161
ccnb1
[1atp]","cdk1-pt14-py15-pt161
ccnb1
[1atp]",State 1
a-cdk1-pt14-py15-pt161_b-ccnb1-166_1atp_seed-1765157_sample-1_model,"cdk1-pt14-py15-pt161
ccnb1
[1atp]","cdk1-pt14-py15-pt161
ccnb1
[1atp]",State 1
a-cdk1-pt14-py15-pt161_b-ccnb1-166_1atp_seed-1765157_sample-2_model,"cdk1-pt14-py15-pt161
ccnb1
[1atp]","cdk1-pt14-py15-pt161
ccnb1
[1atp]",State 1
a-cdk1-pt14-py15-pt161_b-ccnb1-166_1atp_seed-1765157_sample-3_model,"cdk1-pt14-py15-pt161
ccnb1
[1atp]","cdk1-pt14-py15-pt161
ccnb1
[1atp]",State 1
a-cdk1-pt14-py15-pt161_b-ccnb1-166_1atp_seed-1765157_sample-4_model,"cdk1-pt14-py15-pt161
ccnb1
[1atp]","cdk1-pt14-py15-pt161
ccnb1
[1atp]",State 1
a-cdk1-pt14-py15-pt161_b-ccnb1-166_1atp_seed-1958565_sample-0_model,"cdk1-pt14-py15-pt161
ccnb1
[1atp]","cdk1-pt14-py15-pt161
ccnb1
[1atp]",State 1
a-cdk1-pt14-py15-pt161_b-ccnb1-166_1atp_seed-1958565_sample-1_model,"cdk1-pt14-py15-pt161
ccnb1
[1atp]","cdk1-pt14-py15-pt161
ccnb1
[1atp]",State 1
a-cdk1-pt14-py15-pt161_b-ccnb1-166_1atp_seed-1958565_sample-2_model,"cdk1-pt14-py15-pt161
ccnb1
[1atp]","cdk1-pt14-py15-pt161
ccnb1
[1atp]",State 1
a-cdk1-pt14-py15-pt161_b-ccnb1-166_1atp_seed-1958565_sample-3_model,"cdk1-pt14-py15-pt161
ccnb1
[1atp]","cdk1-pt14-py15-pt161
ccnb1
[1atp]",State 1
a-cdk1-pt14-py15-pt161_b-ccnb1-166_1atp_seed-1958565_sample-4_model,"cdk1-pt14-py15-pt161
ccnb1
[1atp]","cdk1-pt14-py15-pt161
ccnb1
[1atp]",State 1
a-cdk1-pt14-py15-pt161_b-ccnb1-166_1atp_seed-284519_sample-0_model,"cdk1-pt14-py15-pt161
ccnb1
[1atp]","cdk1-pt14-py15-pt161
ccnb1
[1atp]",State 1
a-cdk1-pt14-py15-pt161_b-ccnb1-166_1atp_seed-284519_sample-1_model,"cdk1-pt14-py15-pt161
ccnb1
[1atp]","cdk1-pt14-py15-pt161
ccnb1
[1atp]",State 1
a-cdk1-pt14-py15-pt161_b-ccnb1-166_1atp_seed-284519_sample-2_model,"cdk1-pt14-py15-pt161
ccnb1
[1atp]","cdk1-pt14-py15-pt161
ccnb1
[1atp]",State 1
a-cdk1-pt14-py15-pt161_b-ccnb1-166_1atp_seed-284519_sample-3_model,"cdk1-pt14-py15-pt161
ccnb1
[1atp]","cdk1-pt14-py15-pt161
ccnb1
[1atp]",State 1
a-cdk1-pt14-py15-pt161_b-ccnb1-166_1atp_seed-284519_sample-4_model,"cdk1-pt14-py15-pt161
ccnb1
[1atp]","cdk1-pt14-py15-pt161
ccnb1
[1atp]",State 1
a-cdk1-pt14-py15-pt161_b-ccnb1-166_1atp_seed-31613_sample-0_model,"cdk1-pt14-py15-pt161
ccnb1
[1atp]","cdk1-pt14-py15-pt161
ccnb1
[1atp]",State 1
a-cdk1-pt14-py15-pt161_b-ccnb1-166_1atp_seed-31613_sample-1_model,"cdk1-pt14-py15-pt161
ccnb1
[1atp]","cdk1-pt14-py15-pt161
ccnb1
[1atp]",State 1
a-cdk1-pt14-py15-pt161_b-ccnb1-166_1atp_seed-31613_sample-2_model,"cdk1-pt14-py15-pt161
ccnb1
[1atp]","cdk1-pt14-py15-pt161
ccnb1
[1atp]",State 9
a-cdk1-pt14-py15-pt161_b-ccnb1-166_1atp_seed-31613_sample-3_model,"cdk1-pt14-py15-pt161
ccnb1
[1atp]","cdk1-pt14-py15-pt161
ccnb1
[1atp]",State 1
a-cdk1-pt14-py15-pt161_b-ccnb1-166_1atp_seed-31613_sample-4_model,"cdk1-pt14-py15-pt161
ccnb1
[1atp]","cdk1-pt14-py15-pt161
ccnb1
[1atp]",State 1
a-cdk1-pt14-py15-pt161_b-ccnb1-166_1atp_seed-382394_sample-0_model,"cdk1-pt14-py15-pt161
ccnb1
[1atp]","cdk1-pt14-py15-pt161
ccnb1
[1atp]",State 1
a-cdk1-pt14-py15-pt161_b-ccnb1-166_1atp_seed-382394_sample-1_model,"cdk1-pt14-py15-pt161
ccnb1
[1atp]","cdk1-pt14-py15-pt161
ccnb1
[1atp]",State 1
a-cdk1-pt14-py15-pt161_b-ccnb1-166_1atp_seed-382394_sample-2_model,"cdk1-pt14-py15-pt161
ccnb1
[1atp]","cdk1-pt14-py15-pt161
ccnb1
[1atp]",State 1
a-cdk1-pt14-py15-pt161_b-ccnb1-166_1atp_seed-382394_sample-3_model,"cdk1-pt14-py15-pt161
ccnb1
[1atp]","cdk1-pt14-py15-pt161
ccnb1
[1atp]",State 1
a-cdk1-pt14-py15-pt161_b-ccnb1-166_1atp_seed-382394_sample-4_model,"cdk1-pt14-py15-pt161
ccnb1
[1atp]","cdk1-pt14-py15-pt161
ccnb1
[1atp]",State 9
a-cdk1-pt14-py15-pt161_b-ccnb1-166_1atp_seed-409453_sample-0_model,"cdk1-pt14-py15-pt161
ccnb1
[1atp]","cdk1-pt14-py15-pt161
ccnb1
[1atp]",State 1
