Simulation_ID,Directory,File,Chain,Type,State,Role,Partner,CoFactor_Name,CoFactor_aC_Dist,CoFactor_ActLoop_Dist,Interface_C_Lobe_Donor_Dist,Interface_N_Lobe_Rec_Dist,R_Spine,C_Spine,C_Helix,Shell_State,Spatial,Dihedral,ActLoop_NT,ActLoop_CT,Phi_D,Psi_D,Cleft_Gape_Dist,Mg_Hijack_Dist,Substrate_Clearance_Angle,D1_Dist,D2_Dist,SB_Dist,HRD_ATP_Dist,DFG_Mg_Dist,DFG_ATP_Dist,PLoop_ATP_Dist,aCb4_aE_Dist,Spine_Bridge_Dist,V104_RS2_Dist,I150_HRD_Dist,Shell_M118_M120_Dist,Y156_N99_Dist,K105_E107_Dist,K105_E121_Dist,K105_N99_Dist,D220_HRD_Dist,ipTM,pTM
csk-wtcat_apo_seed-108409_sample-0_model,csk-wtcat_apo/seed-108409_sample-0,model.cif,A,CSK-WT,Active (BLAminus),Unpaired,,,,,,,Intact,No Ligand,In,Packed,DFGin,BLAminus,NTin,CTin,61.65,76.15,14.42,,,6.4,13.54,2.72,,,,,3.5,8.06,7.36,9.83,3.76,8.17,4.59,3.27,3.54,3.52,N/A,0.94
csk-wtcat_apo_seed-108409_sample-1_model,csk-wtcat_apo/seed-108409_sample-1,model.cif,A,CSK-WT,Active (BLAminus),Unpaired,,,,,,,Intact,No Ligand,In,Packed,DFGin,BLAminus,NTin,CTin,60.66,72.3,14.32,,,6.41,13.56,2.74,,,,,3.4,8.07,7.33,9.83,3.76,8.15,4.6,3.2,3.64,3.54,N/A,0.93
csk-wtcat_apo_seed-108409_sample-2_model,csk-wtcat_apo/seed-108409_sample-2,model.cif,A,CSK-WT,Active (BLAminus),Unpaired,,,,,,,Intact,No Ligand,In,Packed,DFGin,BLAminus,NTin,CTin,61.11,72.36,14.09,,,6.41,13.62,2.82,,,,,3.55,8.1,7.33,9.9,3.73,8.28,4.59,3.25,3.66,3.51,N/A,0.93
csk-wtcat_apo_seed-108409_sample-3_model,csk-wtcat_apo/seed-108409_sample-3,model.cif,A,CSK-WT,Active (BLAminus),Unpaired,,,,,,,Intact,No Ligand,In,Packed,DFGin,BLAminus,NTin,CTin,61.3,74.4,14.51,,,6.38,13.6,2.74,,,,,3.45,8.15,7.39,9.8,3.69,8.09,5.05,3.36,3.51,3.54,N/A,0.93
csk-wtcat_apo_seed-108409_sample-4_model,csk-wtcat_apo/seed-108409_sample-4,model.cif,A,CSK-WT,Active (BLAminus),Unpaired,,,,,,,Intact,No Ligand,In,Packed,DFGin,BLAminus,NTin,CTin,60.92,75.36,14.9,,,6.34,13.64,2.7,,,,,3.43,8.03,7.3,9.81,3.69,8.09,4.5,3.21,3.67,3.53,N/A,0.93
csk-wtcat_apo_seed-111556_sample-0_model,csk-wtcat_apo/seed-111556_sample-0,model.cif,A,CSK-WT,Active (BLAminus),Unpaired,,,,,,,Intact,No Ligand,In,Packed,DFGin,BLAminus,NTin,CTin,60.95,74.56,14.55,,,6.35,13.88,2.82,,,,,3.48,8.12,7.34,9.89,4.06,8.18,4.98,3.35,3.87,3.5,N/A,0.93
csk-wtcat_apo_seed-111556_sample-1_model,csk-wtcat_apo/seed-111556_sample-1,model.cif,A,CSK-WT,Active (BLAminus),Unpaired,,,,,,,Intact,No Ligand,In,Packed,DFGin,BLAminus,NTin,CTin,61.26,78.81,14.28,,,6.42,13.74,2.71,,,,,3.44,8.13,7.37,9.8,3.68,8.16,5.01,3.28,3.49,3.51,N/A,0.93
csk-wtcat_apo_seed-111556_sample-2_model,csk-wtcat_apo/seed-111556_sample-2,model.cif,A,CSK-WT,Active (BLAminus),Unpaired,,,,,,,Intact,No Ligand,In,Packed,DFGin,BLAminus,NTin,CTin,61.68,73.94,14.45,,,6.43,13.65,2.68,,,,,3.43,8.02,7.34,9.85,3.69,8.09,4.6,3.22,3.57,3.53,N/A,0.93
csk-wtcat_apo_seed-111556_sample-3_model,csk-wtcat_apo/seed-111556_sample-3,model.cif,A,CSK-WT,Active (BLAminus),Unpaired,,,,,,,Intact,No Ligand,In,Packed,DFGin,BLAminus,NTin,CTin,62.11,75.23,14.31,,,6.4,13.62,2.75,,,,,3.47,8.07,7.31,9.82,3.8,8.11,4.58,3.22,4.09,3.53,N/A,0.93
csk-wtcat_apo_seed-111556_sample-4_model,csk-wtcat_apo/seed-111556_sample-4,model.cif,A,CSK-WT,Active (BLAminus),Unpaired,,,,,,,Intact,No Ligand,In,Packed,DFGin,BLAminus,NTin,CTin,61.24,76.46,14.16,,,6.36,13.61,2.73,,,,,3.46,8.11,7.37,9.81,3.58,8.15,5.02,3.35,3.47,3.52,N/A,0.94
