chainA_metric,chainB_metric,homologous,rho_raw,p_raw,rho_partial,p_partial,n_conditions,fdr_raw,fdr_partial
Interface_N_Lobe_Rec_Dist,Interface_C_Lobe_Donor_Dist,False,0.999,0.0,0.999,0.0,7,0.0,0.0
Interface_C_Lobe_Donor_Dist,Interface_N_Lobe_Rec_Dist,False,0.999,0.0,0.999,0.0,7,0.0,0.0
K105_E121_Dist,K105_E121_Dist,True,0.2876116843596603,2.220446049250313e-16,0.284307426262068,6.661338147750939e-16,7,4.263256414560601e-14,1.2789769243681803e-13
V104_RS2_Dist,V104_RS2_Dist,True,0.251897067400557,7.94253551816837e-13,0.254070865072666,8.004708007547379e-13,7,1.1437251146162453e-10,1.1526779530868225e-10
Psi_D,Psi_D,True,0.22979430411402996,7.549716407595497e-11,0.21463841729854385,1.8479502372770185e-09,7,8.697273301550012e-09,1.7740322277859377e-07
K105_E121_Dist,Shell_M118_M120_Dist,False,-0.222503892103995,3.0631119862789546e-10,-0.2113285359277732,3.3176557057146283e-09,7,2.9405875068277965e-08,2.729956694988037e-07
D2_Dist,Psi_D,False,0.21942357433138146,5.45391509731985e-10,0.19938741324014503,2.527561848708615e-08,7,4.487792994366048e-08,1.4558756248561623e-06
Shell_M118_M120_Dist,Shell_M118_M120_Dist,True,0.2112586399829712,2.4128365971876065e-09,0.20578554531502055,8.64903682007423e-09,7,1.7372423499750766e-07,6.227306510453445e-07
Phi_D,Psi_D,False,0.20343832558728117,9.472810091892825e-09,0.1958274815952323,4.519875318464983e-08,7,6.062598458811408e-07,2.366771075850755e-06
D1_Dist,Psi_D,False,0.19281846338974135,5.5607723536965636e-08,0.1863719723135578,2.0070891482149023e-07,7,3.2030048757292205e-06,9.63402791143153e-06
Interface_N_Lobe_Rec_Dist,D220_HRD_Dist,False,0.1911484220592638,7.279232239199018e-08,0.155110591694979,1.625907066471477e-05,7,3.811670699798759e-06,0.0005760923776646825
K105_E121_Dist,V104_RS2_Dist,False,0.1870869810786572,1.3870542114879925e-07,0.2023864654548146,1.535789451168057e-08,7,6.657860215142364e-06,9.829052487475565e-07
Spine_Bridge_Dist,Spine_Bridge_Dist,True,0.17597778049196064,7.523014022847718e-07,0.17904235958917286,6.049285399267745e-07,7,3.3332739055079124e-05,2.6802987615217087e-05
Cleft_Gape_Dist,Psi_D,False,0.17281326821796966,1.194485388822386e-06,0.1670399748454465,3.3429956094455093e-06,7,4.9144541711549596e-05,0.00012837103140270756
D220_HRD_Dist,D220_HRD_Dist,True,0.17211515192881172,1.3212364129433496e-06,0.21871391658482456,8.86967610469469e-10,7,5.073547825702462e-05,1.0217866872608283e-07
Shell_M118_M120_Dist,K105_E121_Dist,False,-0.1544569666201096,1.478988241188084e-05,-0.15105534493183523,2.7116402526061734e-05,7,0.0005324357668277102,0.0008311048568647026
Spine_Bridge_Dist,V104_RS2_Dist,False,-0.1519938103858596,2.0295035033424114e-05,-0.15476014958244189,1.7002726424131254e-05,7,0.000687643539956017,0.0005760923776646825
Interface_N_Lobe_Rec_Dist,Spine_Bridge_Dist,False,0.1454634872091897,4.5850434377880944e-05,0.15096738349016697,2.7414917153523177e-05,7,0.0014672139000921902,0.0008311048568647026
K105_E107_Dist,HRD_ATP_Dist,False,-0.2644855566183331,5.016914527167238e-05,-0.22423286718123367,0.0007572001498195036,3,0.0015209172461306995,0.01282786136164806
Interface_N_Lobe_Rec_Dist,D2_Dist,False,0.14279016572879571,6.337500711595112e-05,0.12376364393367068,0.0006046704834015149,7,0.001802430162285873,0.011175187365526362
D1_Dist,K105_N99_Dist,False,0.14248789927870978,6.571359966667245e-05,0.1429563172004293,7.241306316574381e-05,7,0.001802430162285873,0.0020854962191734217
K105_N99_Dist,K105_N99_Dist,True,0.14175014886264262,7.176814917198016e-05,0.14052219584965747,9.629808318711852e-05,7,0.0018790206328663896,0.002641318853132394
Interface_C_Lobe_Donor_Dist,aCb4_aE_Dist,False,0.13557526316460236,0.00014753188050375954,0.1685214194959318,2.7245907996409358e-06,7,0.0036947114421811084,0.00011209745004236993
DFG_Mg_Dist,Psi_D,False,0.15575480020667248,0.00024318379250765076,0.1600953881295616,0.00017995799934955592,4,0.005836411020183618,0.004506774244580183
V104_RS2_Dist,I150_HRD_Dist,False,-0.1307237018406091,0.000254412686108374,-0.13525151709938188,0.0001756986001555383,7,0.005861668287936936,0.004506774244580183
I150_HRD_Dist,Psi_D,False,-0.12879347265118177,0.00031437641415288375,-0.1291468607582805,0.0003431633178223592,7,0.0069646467135408095,0.007906482842627157
D2_Dist,HRD_ATP_Dist,False,-0.23372590492277878,0.0003653022663057115,-0.230893762436541,0.0005171693389800502,3,0.007793115014521845,0.010272053077672722
K105_N99_Dist,V104_RS2_Dist,False,-0.12696492676611607,0.00038313110236742887,-0.13382799961785397,0.0002059136949661422,7,0.00788155410584425,0.004941928679187413
Y156_N99_Dist,Psi_D,False,-0.12595544518432877,0.000426856073844295,-0.12350754885704371,0.0006208437425292423,7,0.008264947197537254,0.011175187365526362
D2_Dist,K105_N99_Dist,False,0.1258764663016468,0.00043046599987173195,0.12227133752730458,0.0007047140773772664,7,0.008264947197537254,0.01230046389603956
Interface_C_Lobe_Donor_Dist,K105_N99_Dist,False,0.12534778196192733,0.00045537262000960865,0.11613080803840016,0.001299839221724719,7,0.008461117068565631,0.020649691141478105
I150_HRD_Dist,V104_RS2_Dist,False,0.12234135684601291,0.0006244260543546432,0.12634531429036994,0.00046210341014552014,7,0.011028025099053903,0.009702736488462855
Psi_D,V104_RS2_Dist,False,-0.1222280432267909,0.0006318139379666299,-0.11569700870671111,0.0013558268465578838,7,0.011028025099053903,0.020649691141478105
D2_Dist,V104_RS2_Dist,False,-0.12103936707082,0.0007143549340726807,-0.11564787623562676,0.0013623060128058473,7,0.012010361679441368,0.020649691141478105
SB_Dist,Interface_C_Lobe_Donor_Dist,False,0.1208312442253439,0.0007297962826049442,0.0946129054468496,0.008893459568625861,7,0.012010361679441368,0.08987074932506134
Shell_M118_M120_Dist,V104_RS2_Dist,False,-0.12029653317696214,0.0007708974928324341,-0.12475254934065995,0.000545818535711895,7,0.012334359885318946,0.010479715885668383
D220_HRD_Dist,V104_RS2_Dist,False,-0.11999175741489189,0.0007952732105280802,-0.12857546376854143,0.00036481518957587333,7,0.012380469439572276,0.008082059584450118
K105_N99_Dist,Spine_Bridge_Dist,False,0.11889963088357146,0.0008886004120771673,0.1261504777644568,0.0004716608015224999,7,0.013469311509380221,0.009702736488462855
D220_HRD_Dist,HRD_ATP_Dist,False,-0.21684605907189772,0.0009744226905710196,-0.18240242849533558,0.006457117300015414,3,0.014391473583818136,0.07292744244723291
aCb4_aE_Dist,Interface_C_Lobe_Donor_Dist,False,0.11709900501584337,0.001064845201553366,0.10451160633760156,0.0038310810965003217,7,0.015333770902368472,0.046951121523067775
D1_Dist,K105_E107_Dist,False,0.11165437920481554,0.0018126510514044902,0.09946523060183622,0.0059383911880834805,7,0.0254655367221704,0.06980639437420581
Phi_D,K105_N99_Dist,False,0.11025462823281777,0.0020707106118607044,0.1108499576595338,0.0021511306817043607,7,0.02839831696266109,0.029501220777659803
PLoop_ATP_Dist,PLoop_ATP_Dist,True,0.2155327170114886,0.002289561902538262,0.22288953558489247,0.001779440644960939,2,0.030669480368884623,0.024998971012134167
K105_N99_Dist,Psi_D,False,0.10841330703127283,0.0024613596766100976,0.09130585584123567,0.011597551511142612,7,0.03171509679585256,0.11322355373590075
Interface_N_Lobe_Rec_Dist,Psi_D,False,0.10834207796175468,0.0024777419371759812,0.07833501234653145,0.03046581861154607,7,0.03171509679585256,0.2040501339564016
Psi_D,HRD_ATP_Dist,False,-0.1979517656662565,0.002679443285183547,-0.15732892690153924,0.019160701848232486,3,0.03355128983186355,0.1534159974333349
PLoop_ATP_Dist,Interface_N_Lobe_Rec_Dist,False,0.12612194264942178,0.002942745443805128,0.11145267504810238,0.009172896139215014,4,0.036064284587909654,0.09109634786530772
K105_N99_Dist,I150_HRD_Dist,False,0.1055264261051197,0.003210740501648157,0.11411277684153387,0.001579670384866505,7,0.038528886019777886,0.023330516453412997
D220_HRD_Dist,Spine_Bridge_Dist,False,0.10497587013495253,0.003375270970152,0.1097896241279607,0.0023741151581520015,7,0.03967665466954188,0.03107932570671711
Cleft_Gape_Dist,K105_E107_Dist,False,0.10384526454664048,0.0037373821857180634,0.09769312426657767,0.006895881631020728,7,0.042939071821156374,0.07638515037438345
DFG_Mg_Dist,K105_E107_Dist,False,0.12322857367142019,0.0038018969841648875,0.12667197849304607,0.0031368138727005945,4,0.042939071821156374,0.04015121757056761
Mg_Hijack_Dist,Psi_D,False,0.1207651315081023,0.004426057724420174,0.13732633290510327,0.001293546686177427,4,0.04853633803720201,0.020649691141478105
Mg_Hijack_Dist,Substrate_Clearance_Angle,False,0.2013424483590627,0.004466017215228657,0.2088619734258477,0.0034783842140879706,2,0.04853633803720201,0.04355541972423198
Spine_Bridge_Dist,aCb4_aE_Dist,False,0.1002208827196753,0.0051480230954656925,0.09681234213777333,0.007421424902751328,7,0.05393180874293816,0.07971575484061806
Spine_Bridge_Dist,SB_Dist,False,0.10003419549801067,0.005232248988162436,0.11030937017429746,0.0022623030043564807,7,0.05393180874293816,0.030304337918821696
K105_E107_Dist,Shell_M118_M120_Dist,False,0.10000974779082007,0.005243370294452321,0.08611509973791422,0.017316201124953023,7,0.05393180874293816,0.14248759782818488
Interface_N_Lobe_Rec_Dist,Cleft_Gape_Dist,False,0.09965322521061425,0.0054079910763698,0.06294851071964512,0.08226927914725968,7,0.054649172982263246,0.3522341441752253
Y156_N99_Dist,V104_RS2_Dist,False,0.09892101171380589,0.00576075799982223,0.10217089126710162,0.004705682511015663,7,0.05721028634306215,0.056468190132187956
V104_RS2_Dist,K105_E121_Dist,False,0.09635316791372073,0.007167293159010102,0.09638854010842587,0.007686841489013441,7,0.06997221795914947,0.08050219450312258
PLoop_ATP_Dist,Cleft_Gape_Dist,False,0.11301137025307699,0.007774208701995189,0.0862116362662167,0.0442116388550613,4,0.07463240353915382,0.2458658823845256
Interface_C_Lobe_Donor_Dist,Psi_D,False,0.0939759850237483,0.008735646574890898,0.06134019059678559,0.0904253853088901,7,0.08248741683831405,0.35431987712871227
Y156_N99_Dist,HRD_ATP_Dist,False,0.17091710501514426,0.00978295296417353,0.1375368360437172,0.040987254793448,3,0.09088678882845086,0.23374909664382226
aCb4_aE_Dist,D220_HRD_Dist,False,0.09156586677563323,0.010631102150483906,0.09880789945359966,0.006278649433246741,7,0.09719864823299572,0.07233004147100246
Substrate_Clearance_Angle,Substrate_Clearance_Angle,True,0.17957123466610225,0.011453344780165464,0.18773636271540134,0.008823226048430888,2,0.10308010302148918,0.08987074932506134
DFG_Mg_Dist,Spine_Bridge_Dist,False,0.10739368771130622,0.01176403044481189,0.10722705392118592,0.012535098244622622,4,0.10424740824940998,0.11836420637545296
K105_E107_Dist,aCb4_aE_Dist,False,0.08977286375538586,0.012269398113095686,0.06271405143937651,0.08341983004297804,7,0.10707838353247144,0.3522341441752253
Cleft_Gape_Dist,D1_Dist,False,-0.0892055236279424,0.01283234316499482,-0.06954947543380699,0.05480143536412396,7,0.11031984571697039,0.284034109871378
PLoop_ATP_Dist,Psi_D,False,0.1051758624770481,0.013295717008090291,0.09421830275126442,0.027806068506499138,4,0.11262254406852952,0.19577165603381813
D2_Dist,K105_E107_Dist,False,0.08719196409760975,0.015018591122370584,0.07765026060637187,0.031953804625192594,7,0.1253725867606588,0.20915217572853334
DFG_Mg_Dist,K105_N99_Dist,False,0.10322780251241662,0.015490224466112812,0.09387548954524275,0.02897282802438772,4,0.12722398139298718,0.20106444508490756
aCb4_aE_Dist,I150_HRD_Dist,False,0.08647456526908615,0.015873108756492504,0.09672837290041128,0.007473352016307944,7,0.12722398139298718,0.07971575484061806
DFG_ATP_Dist,SB_Dist,False,0.10245038878600053,0.015902997674123398,0.0898168543812741,0.03602308308308344,4,0.12722398139298718,0.22311070812748454
DFG_ATP_Dist,Spine_Bridge_Dist,False,0.10152970710425875,0.016879809214840336,0.10523052879588167,0.01393385486932619,4,0.13318863161298675,0.12739524451955372
Interface_C_Lobe_Donor_Dist,Substrate_Clearance_Angle,False,-0.15736663171025145,0.017549703322101706,-0.16862731469840983,0.011945091497787219,3,0.13660309612879165,0.11467287837875731
Psi_D,PLoop_ATP_Dist,False,0.1560230102394464,0.018554207813407775,0.10374449548421241,0.12421978342524564,3,0.14062405754162424,0.4258851479345615
Mg_Hijack_Dist,K105_E107_Dist,False,0.10005440857168739,0.018554563147853198,0.09856198562445481,0.0213303789377155,4,0.14062405754162424,0.16603105767735307
K105_E121_Dist,Interface_N_Lobe_Rec_Dist,False,0.0841077583535663,0.019002036303067182,0.0764436407731774,0.03472719748990438,7,0.14214510273463243,0.22225406393538805
Psi_D,I150_HRD_Dist,False,0.08344216208100216,0.019973639715337388,0.08832722960750852,0.014631416095793215,7,0.1463219241424623,0.12965685647964448
Interface_N_Lobe_Rec_Dist,K105_N99_Dist,False,0.08335171548232607,0.020108951753202042,0.07260108080942985,0.04496290038803097,7,0.1463219241424623,0.2466536249857699
Psi_D,K105_E107_Dist,False,0.0832100524219496,0.020322489464230875,0.07625208647837287,0.035185818612308184,7,0.1463219241424623,0.22271463209548917
DFG_ATP_Dist,D220_HRD_Dist,False,0.09831465518557567,0.02071411000169876,0.0886492576597405,0.03852114145213781,4,0.14730033778985785,0.22640997424929976
D220_HRD_Dist,aCb4_aE_Dist,False,0.0824887872167751,0.021440564899000147,0.06818445021126118,0.05974961491619801,7,0.15060689490029372,0.29668774303215567
Interface_N_Lobe_Rec_Dist,Mg_Hijack_Dist,False,0.15027556327604374,0.023434105784036374,0.13213445394084683,0.049714019746769145,3,0.16224704801634524,0.2627089483865966
Mg_Hijack_Dist,D1_Dist,False,-0.09601133723174712,0.023906863473636353,-0.08771113969478418,0.0406331006940972,4,0.16224704801634524,0.23374909664382226
I150_HRD_Dist,D220_HRD_Dist,False,0.08098608066971083,0.023942706738523167,0.058557406481277385,0.10605859101186921,7,0.16224704801634524,0.39440944197520855
PLoop_ATP_Dist,Y156_N99_Dist,False,-0.09519130503845233,0.025142003993372075,-0.10290723107260837,0.016204204738510475,4,0.16839295697886414,0.13725914602032402
Mg_Hijack_Dist,PLoop_ATP_Dist,False,0.15794190682574538,0.026524341385445682,0.16726821651433266,0.019938433055306737,2,0.17560943262088174,0.15732243068296822
