Metric,.y.,group1,group2,n1,n2,statistic,p,p.adj,p.adj.signif
Cleft_Gape_Dist,Distance,"csk-wtcat-apo
src-wtcat-apo
[CSK = Apo]","csk-wtcat-apo
src-wtcat-py159-apo
[CSK = Apo]",100,100,1434,2.98e-18,6.95e-18,****
Cleft_Gape_Dist,Distance,"csk-wtcat-apo
src-wtcat-apo
[CSK = Apo]","csk-wtcat-apo
src-wtcat-py159-holo
[CSK = Apo]",100,34,180.5,8.02e-15,1.68e-14,****
Cleft_Gape_Dist,Distance,"csk-wtcat-apo
src-wtcat-apo
[CSK = Apo]","csk-wtcat-holo
src-wtcat-apo
[CSK = Holo]",100,196,3305,1.11e-20,3.88e-20,****
Cleft_Gape_Dist,Distance,"csk-wtcat-apo
src-wtcat-apo
[CSK = Apo]","csk-wtcat-holo
src-wtcat-holo
[CSK = Holo]",100,100,1331,3.13e-19,9.39e-19,****
Cleft_Gape_Dist,Distance,"csk-wtcat-apo
src-wtcat-apo
[CSK = Apo]","csk-wtcat-holo
src-wtcat-py159-apo
[CSK = Holo]",100,166,628,1.57e-36,1.6499999999999998e-35,****
Cleft_Gape_Dist,Distance,"csk-wtcat-apo
src-wtcat-apo
[CSK = Apo]","csk-wtcat-holo
src-wtcat-py159-holo
[CSK = Holo]",100,100,617.5,9.420000000000001e-27,4.9500000000000003e-26,****
Cleft_Gape_Dist,Distance,"csk-wtcat-apo
src-wtcat-py159-apo
[CSK = Apo]","csk-wtcat-apo
src-wtcat-py159-holo
[CSK = Apo]",100,34,1580,0.541,0.541,ns
Cleft_Gape_Dist,Distance,"csk-wtcat-apo
src-wtcat-py159-apo
[CSK = Apo]","csk-wtcat-holo
src-wtcat-apo
[CSK = Holo]",100,196,14818,5.83e-13,1.02e-12,****
Cleft_Gape_Dist,Distance,"csk-wtcat-apo
src-wtcat-py159-apo
[CSK = Apo]","csk-wtcat-holo
src-wtcat-holo
[CSK = Holo]",100,100,7489,1.2e-9,1.8e-9,****
Cleft_Gape_Dist,Distance,"csk-wtcat-apo
src-wtcat-py159-apo
[CSK = Apo]","csk-wtcat-holo
src-wtcat-py159-apo
[CSK = Holo]",100,166,6907,0.022,0.029,*
Cleft_Gape_Dist,Distance,"csk-wtcat-apo
src-wtcat-py159-apo
[CSK = Apo]","csk-wtcat-holo
src-wtcat-py159-holo
[CSK = Holo]",100,100,5410.5,0.316,0.332,ns
Cleft_Gape_Dist,Distance,"csk-wtcat-apo
src-wtcat-py159-holo
[CSK = Apo]","csk-wtcat-holo
src-wtcat-apo
[CSK = Holo]",34,196,5938.5,3.43e-13,6.55e-13,****
Cleft_Gape_Dist,Distance,"csk-wtcat-apo
src-wtcat-py159-holo
[CSK = Apo]","csk-wtcat-holo
src-wtcat-holo
[CSK = Holo]",34,100,3010,2.14e-11,3.46e-11,****
Cleft_Gape_Dist,Distance,"csk-wtcat-apo
src-wtcat-py159-holo
[CSK = Apo]","csk-wtcat-holo
src-wtcat-py159-apo
[CSK = Holo]",34,166,2384.5,0.155,0.176,ns
