Simulation_ID,Condition_designed,Condition_reviewed,Macro_State
a-csk-wtcat-apo_b-src-wtcat-apo_seed-1035224_sample-0_model,"csk-wtcat-apo
src-wtcat-apo","csk-wtcat-apo
src-wtcat-apo",State 1
a-csk-wtcat-apo_b-src-wtcat-apo_seed-1035224_sample-1_model,"csk-wtcat-apo
src-wtcat-apo","csk-wtcat-apo
src-wtcat-apo",State 1
a-csk-wtcat-apo_b-src-wtcat-apo_seed-1035224_sample-2_model,"csk-wtcat-apo
src-wtcat-apo","csk-wtcat-apo
src-wtcat-apo",State 2
a-csk-wtcat-apo_b-src-wtcat-apo_seed-1035224_sample-3_model,"csk-wtcat-apo
src-wtcat-apo","csk-wtcat-apo
src-wtcat-apo",State 1
a-csk-wtcat-apo_b-src-wtcat-apo_seed-1035224_sample-4_model,"csk-wtcat-apo
src-wtcat-apo","csk-wtcat-apo
src-wtcat-apo",State 1
a-csk-wtcat-apo_b-src-wtcat-apo_seed-105622_sample-0_model,"csk-wtcat-apo
src-wtcat-apo","csk-wtcat-apo
src-wtcat-apo",State 1
a-csk-wtcat-apo_b-src-wtcat-apo_seed-105622_sample-1_model,"csk-wtcat-apo
src-wtcat-apo","csk-wtcat-apo
src-wtcat-apo",State 2
a-csk-wtcat-apo_b-src-wtcat-apo_seed-105622_sample-2_model,"csk-wtcat-apo
src-wtcat-apo","csk-wtcat-apo
src-wtcat-apo",State 1
a-csk-wtcat-apo_b-src-wtcat-apo_seed-105622_sample-3_model,"csk-wtcat-apo
src-wtcat-apo","csk-wtcat-apo
src-wtcat-apo",State 1
a-csk-wtcat-apo_b-src-wtcat-apo_seed-105622_sample-4_model,"csk-wtcat-apo
src-wtcat-apo","csk-wtcat-apo
src-wtcat-apo",State 2
a-csk-wtcat-apo_b-src-wtcat-apo_seed-1076889_sample-0_model,"csk-wtcat-apo
src-wtcat-apo","csk-wtcat-apo
src-wtcat-apo",State 1
a-csk-wtcat-apo_b-src-wtcat-apo_seed-1076889_sample-1_model,"csk-wtcat-apo
src-wtcat-apo","csk-wtcat-apo
src-wtcat-apo",State 1
a-csk-wtcat-apo_b-src-wtcat-apo_seed-1076889_sample-2_model,"csk-wtcat-apo
src-wtcat-apo","csk-wtcat-apo
src-wtcat-apo",State 1
a-csk-wtcat-apo_b-src-wtcat-apo_seed-1076889_sample-3_model,"csk-wtcat-apo
src-wtcat-apo","csk-wtcat-apo
src-wtcat-apo",State 2
