Simulation_ID,Directory,File,Chain,Type,State,Role,Partner,CoFactor_Name,CoFactor_aC_Dist,CoFactor_ActLoop_Dist,Interface_C_Lobe_Donor_Dist,Interface_N_Lobe_Rec_Dist,R_Spine,C_Spine,C_Helix,Shell_State,Spatial,Dihedral,ActLoop_NT,ActLoop_CT,Phi_D,Psi_D,Cleft_Gape_Dist,Mg_Hijack_Dist,Substrate_Clearance_Angle,D1_Dist,D2_Dist,SB_Dist,HRD_ATP_Dist,DFG_Mg_Dist,DFG_ATP_Dist,PLoop_ATP_Dist,aCb4_aE_Dist,Spine_Bridge_Dist,V104_RS2_Dist,I150_HRD_Dist,Shell_M118_M120_Dist,Y156_N99_Dist,K105_E107_Dist,K105_E121_Dist,K105_N99_Dist,D220_HRD_Dist,ipTM,pTM,PAE_A_to_B,PAE_B_to_A,PAE_Mean_AB,Clean_Sim_ID,Condition_designed,Physical_Chain_State,Condition_reviewed,Sim_Has_Mismatch,Actual_Target_Apo,Physical_State,Condition_clean,Condition_physical,Condition,Macro_State,Binary_State,Binary_C_Helix,Binary_R_Spine,Binary_Spatial
a-csk-wtcat-apo_b-src-wtcat-apo_seed-1035224_sample-0_model,a-csk-wtcat-apo_b-src-wtcat-apo/seed-1035224_sample-0,model.cif,B,SRC-WT,Active (BLAminus),C-lobe Donor,A,NA,NA,NA,2.48,9.96,Intact,No Ligand,In,Packed,DFGin,BLAminus,NTin,CTin,57.8,53.37,14.72,NA,NA,6.95,15.02,2.73,NA,NA,NA,NA,3.44,7.67,7.27,10.04,4.05,8.33,3.79,3.47,3.14,3.43,0.79,0.83,10.89,11.09,10.99,a-csk-wtcat-apo_b-src-wtcat-apo,"csk-wtcat-apo
src-wtcat-apo",apo,"csk-wtcat-apo
src-wtcat-apo",FALSE,TRUE,Apo,"csk-wtcat-apo
src-wtcat-apo","csk-wtcat-apo
src-wtcat-apo
[SRC = Apo]","csk-wtcat-apo
src-wtcat-apo
[SRC = Apo]",State 1,Active (BLAminus),In,Intact,DFGin
a-csk-wtcat-apo_b-src-wtcat-apo_seed-1035224_sample-1_model,a-csk-wtcat-apo_b-src-wtcat-apo/seed-1035224_sample-1,model.cif,B,SRC-WT,Active (BLAminus),C-lobe Donor,A,NA,NA,NA,2.51,9.8,Intact,No Ligand,In,Packed,DFGin,BLAminus,NTin,CTin,61.18,57.55,15.59,NA,NA,6.89,14.99,2.93,NA,NA,NA,NA,3.04,7.69,7.28,10.06,4.08,8.51,3.79,3.42,3.14,3.44,0.81,0.84,10.55,10.81,10.68,a-csk-wtcat-apo_b-src-wtcat-apo,"csk-wtcat-apo
src-wtcat-apo",apo,"csk-wtcat-apo
src-wtcat-apo",FALSE,TRUE,Apo,"csk-wtcat-apo
src-wtcat-apo","csk-wtcat-apo
src-wtcat-apo
[SRC = Apo]","csk-wtcat-apo
src-wtcat-apo
[SRC = Apo]",State 1,Active (BLAminus),In,Intact,DFGin
a-csk-wtcat-apo_b-src-wtcat-apo_seed-1035224_sample-2_model,a-csk-wtcat-apo_b-src-wtcat-apo/seed-1035224_sample-2,model.cif,B,SRC-WT,Active (BLAminus),C-lobe Donor,A,NA,NA,NA,2.6,9.95,Intact,No Ligand,In,Packed,DFGin,BLAminus,NTin,CTin,55.08,56.49,15.48,NA,NA,6.89,15.02,2.72,NA,NA,NA,NA,3.24,7.66,7.29,10,3.97,8.52,3.76,3.91,3.1,3.36,0.81,0.84,10.52,10.87,10.7,a-csk-wtcat-apo_b-src-wtcat-apo,"csk-wtcat-apo
src-wtcat-apo",apo,"csk-wtcat-apo
src-wtcat-apo",FALSE,TRUE,Apo,"csk-wtcat-apo
src-wtcat-apo","csk-wtcat-apo
src-wtcat-apo
[SRC = Apo]","csk-wtcat-apo
src-wtcat-apo
[SRC = Apo]",State 2,Active (BLAminus),In,Intact,DFGin
a-csk-wtcat-apo_b-src-wtcat-apo_seed-1035224_sample-3_model,a-csk-wtcat-apo_b-src-wtcat-apo/seed-1035224_sample-3,model.cif,B,SRC-WT,Active (BLAminus),C-lobe Donor,A,NA,NA,NA,2.6,9.03,Intact,No Ligand,In,Packed,DFGin,BLAminus,NTin,CTin,54.93,58.47,16.86,NA,NA,6.96,15.38,2.81,NA,NA,NA,NA,3.09,7.66,7.28,10.02,4.09,8.43,3.77,3.37,3.1,3.46,0.81,0.84,10.6,10.91,10.75,a-csk-wtcat-apo_b-src-wtcat-apo,"csk-wtcat-apo
src-wtcat-apo",apo,"csk-wtcat-apo
src-wtcat-apo",FALSE,TRUE,Apo,"csk-wtcat-apo
src-wtcat-apo","csk-wtcat-apo
src-wtcat-apo
[SRC = Apo]","csk-wtcat-apo
src-wtcat-apo
[SRC = Apo]",State 1,Active (BLAminus),In,Intact,DFGin
a-csk-wtcat-apo_b-src-wtcat-apo_seed-1035224_sample-4_model,a-csk-wtcat-apo_b-src-wtcat-apo/seed-1035224_sample-4,model.cif,B,SRC-WT,Active (BLAminus),C-lobe Donor,A,NA,NA,NA,2.52,9.44,Intact,No Ligand,In,Packed,DFGin,BLAminus,NTin,CTin,62.94,55.97,15.19,NA,NA,6.84,15.03,2.73,NA,NA,NA,NA,2.99,7.67,7.23,9.99,4.04,8.39,3.75,3.42,3.15,3.43,0.8,0.84,10.75,10.93,10.84,a-csk-wtcat-apo_b-src-wtcat-apo,"csk-wtcat-apo
src-wtcat-apo",apo,"csk-wtcat-apo
src-wtcat-apo",FALSE,TRUE,Apo,"csk-wtcat-apo
src-wtcat-apo","csk-wtcat-apo
src-wtcat-apo
[SRC = Apo]","csk-wtcat-apo
src-wtcat-apo
[SRC = Apo]",State 1,Active (BLAminus),In,Intact,DFGin
a-csk-wtcat-apo_b-src-wtcat-apo_seed-105622_sample-0_model,a-csk-wtcat-apo_b-src-wtcat-apo/seed-105622_sample-0,model.cif,B,SRC-WT,Active (BLAminus),C-lobe Donor,A,NA,NA,NA,2.65,9.18,Intact,No Ligand,In,Packed,DFGin,BLAminus,NTin,CTin,62.81,56.38,16.07,NA,NA,6.88,15.18,2.73,NA,NA,NA,NA,3.14,7.71,7.28,10,4.07,8.5,3.81,3.46,3.09,3.44,0.82,0.85,10.38,10.6,10.49,a-csk-wtcat-apo_b-src-wtcat-apo,"csk-wtcat-apo
src-wtcat-apo",apo,"csk-wtcat-apo
src-wtcat-apo",FALSE,TRUE,Apo,"csk-wtcat-apo
src-wtcat-apo","csk-wtcat-apo
src-wtcat-apo
[SRC = Apo]","csk-wtcat-apo
src-wtcat-apo
[SRC = Apo]",State 1,Active (BLAminus),In,Intact,DFGin
a-csk-wtcat-apo_b-src-wtcat-apo_seed-105622_sample-1_model,a-csk-wtcat-apo_b-src-wtcat-apo/seed-105622_sample-1,model.cif,B,SRC-WT,Active (BLAminus),C-lobe Donor,A,NA,NA,NA,2.46,8.73,Intact,No Ligand,In,Packed,DFGin,BLAminus,NTin,CTin,60.18,56.38,16,NA,NA,6.83,15.07,2.84,NA,NA,NA,NA,3.35,7.64,7.32,10.07,3.95,8.39,3.77,3.93,2.87,3.42,0.8,0.84,10.75,11.08,10.91,a-csk-wtcat-apo_b-src-wtcat-apo,"csk-wtcat-apo
src-wtcat-apo",apo,"csk-wtcat-apo
src-wtcat-apo",FALSE,TRUE,Apo,"csk-wtcat-apo
src-wtcat-apo","csk-wtcat-apo
src-wtcat-apo
[SRC = Apo]","csk-wtcat-apo
src-wtcat-apo
[SRC = Apo]",State 2,Active (BLAminus),In,Intact,DFGin
a-csk-wtcat-apo_b-src-wtcat-apo_seed-105622_sample-2_model,a-csk-wtcat-apo_b-src-wtcat-apo/seed-105622_sample-2,model.cif,B,SRC-WT,Active (BLAminus),C-lobe Donor,A,NA,NA,NA,2.53,9.33,Intact,No Ligand,In,Packed,DFGin,BLAminus,NTin,CTin,59.58,62.1,16.58,NA,NA,6.8,15.26,2.74,NA,NA,NA,NA,3.1,7.7,7.25,9.97,4.07,8.53,3.81,3.42,2.99,3.43,0.81,0.84,10.6,10.79,10.7,a-csk-wtcat-apo_b-src-wtcat-apo,"csk-wtcat-apo
src-wtcat-apo",apo,"csk-wtcat-apo
src-wtcat-apo",FALSE,TRUE,Apo,"csk-wtcat-apo
src-wtcat-apo","csk-wtcat-apo
src-wtcat-apo
[SRC = Apo]","csk-wtcat-apo
src-wtcat-apo
[SRC = Apo]",State 1,Active (BLAminus),In,Intact,DFGin
a-csk-wtcat-apo_b-src-wtcat-apo_seed-105622_sample-3_model,a-csk-wtcat-apo_b-src-wtcat-apo/seed-105622_sample-3,model.cif,B,SRC-WT,Active (BLAminus),C-lobe Donor,A,NA,NA,NA,2.5,9.98,Intact,No Ligand,In,Packed,DFGin,BLAminus,NTin,CTin,58.59,63.08,15.15,NA,NA,6.89,14.96,2.87,NA,NA,NA,NA,3.2,7.73,7.25,9.93,4.11,8.49,3.84,3.38,3.28,3.4,0.81,0.84,10.53,10.77,10.65,a-csk-wtcat-apo_b-src-wtcat-apo,"csk-wtcat-apo
src-wtcat-apo",apo,"csk-wtcat-apo
src-wtcat-apo",FALSE,TRUE,Apo,"csk-wtcat-apo
src-wtcat-apo","csk-wtcat-apo
src-wtcat-apo
[SRC = Apo]","csk-wtcat-apo
src-wtcat-apo
[SRC = Apo]",State 1,Active (BLAminus),In,Intact,DFGin
a-csk-wtcat-apo_b-src-wtcat-apo_seed-105622_sample-4_model,a-csk-wtcat-apo_b-src-wtcat-apo/seed-105622_sample-4,model.cif,B,SRC-WT,Active (BLAminus),C-lobe Donor,A,NA,NA,NA,2.52,9.49,Intact,No Ligand,In,Packed,DFGin,BLAminus,NTin,CTin,62.34,56.08,16.64,NA,NA,6.78,15.26,2.73,NA,NA,NA,NA,3,7.65,7.29,9.95,3.97,8.4,3.69,3.93,3.07,3.44,0.81,0.84,10.5,10.67,10.59,a-csk-wtcat-apo_b-src-wtcat-apo,"csk-wtcat-apo
src-wtcat-apo",apo,"csk-wtcat-apo
src-wtcat-apo",FALSE,TRUE,Apo,"csk-wtcat-apo
src-wtcat-apo","csk-wtcat-apo
src-wtcat-apo
[SRC = Apo]","csk-wtcat-apo
src-wtcat-apo
[SRC = Apo]",State 2,Active (BLAminus),In,Intact,DFGin
