Simulation_ID,Directory,File,Chain,Type,State,Role,Partner,CoFactor_Name,CoFactor_aC_Dist,CoFactor_ActLoop_Dist,Interface_C_Lobe_Donor_Dist,Interface_N_Lobe_Rec_Dist,R_Spine,C_Spine,C_Helix,Shell_State,Spatial,Dihedral,ActLoop_NT,ActLoop_CT,Phi_D,Psi_D,Cleft_Gape_Dist,Mg_Hijack_Dist,Substrate_Clearance_Angle,D1_Dist,D2_Dist,SB_Dist,HRD_ATP_Dist,DFG_Mg_Dist,DFG_ATP_Dist,PLoop_ATP_Dist,aCb4_aE_Dist,Spine_Bridge_Dist,V104_RS2_Dist,I150_HRD_Dist,Shell_M118_M120_Dist,Y156_N99_Dist,K105_E107_Dist,K105_E121_Dist,K105_N99_Dist,D220_HRD_Dist,ipTM,pTM,PAE_A_to_B,PAE_B_to_A,PAE_Mean_AB,Clean_Sim_ID,Condition_designed,Physical_Chain_State,Condition_reviewed,Sim_Has_Mismatch,Actual_Target_Apo,Physical_State,Condition_clean,Condition_physical,Condition,Macro_State,Binary_State,Binary_C_Helix,Binary_R_Spine,Binary_Spatial
a-csk-wtcat-apo_b-src-wtcat-apo_seed-1035224_sample-0_model,a-csk-wtcat-apo_b-src-wtcat-apo/seed-1035224_sample-0,model.cif,A,CSK-WT,Inactive (BLBplus),N-lobe Receiver,B,NA,NA,NA,9.96,2.48,Intact,No Ligand,Out,Packed,DFGin,BLBplus,NTout,CTin,57.38,19.52,13.35,NA,NA,5.34,13.09,13.87,NA,NA,NA,NA,3.48,7.51,7,10.24,4.1,9.58,4,3.64,3.12,3.62,0.79,0.83,10.89,11.09,10.99,a-csk-wtcat-apo_b-src-wtcat-apo,"csk-wtcat-apo
src-wtcat-apo",apo,"csk-wtcat-apo
src-wtcat-apo",FALSE,TRUE,Apo,"csk-wtcat-apo
src-wtcat-apo","csk-wtcat-apo
src-wtcat-apo
[CSK = Apo]","csk-wtcat-apo
src-wtcat-apo
[CSK = Apo]",State 1,Other,Other,Intact,DFGin
a-csk-wtcat-apo_b-src-wtcat-apo_seed-1035224_sample-1_model,a-csk-wtcat-apo_b-src-wtcat-apo/seed-1035224_sample-1,model.cif,A,CSK-WT,Inactive (BLBplus),N-lobe Receiver,B,NA,NA,NA,9.8,2.51,Intact,No Ligand,Out,Packed,DFGin,BLBplus,NTout,CTin,58.12,18.68,13.19,NA,NA,5.16,13.01,15.75,NA,NA,NA,NA,3.46,7.55,7.07,10.36,4.07,9.5,4.03,3.64,3.11,3.61,0.81,0.84,10.55,10.81,10.68,a-csk-wtcat-apo_b-src-wtcat-apo,"csk-wtcat-apo
src-wtcat-apo",apo,"csk-wtcat-apo
src-wtcat-apo",FALSE,TRUE,Apo,"csk-wtcat-apo
src-wtcat-apo","csk-wtcat-apo
src-wtcat-apo
[CSK = Apo]","csk-wtcat-apo
src-wtcat-apo
[CSK = Apo]",State 1,Other,Other,Intact,DFGin
a-csk-wtcat-apo_b-src-wtcat-apo_seed-1035224_sample-2_model,a-csk-wtcat-apo_b-src-wtcat-apo/seed-1035224_sample-2,model.cif,A,CSK-WT,Inactive (BLBplus),N-lobe Receiver,B,NA,NA,NA,9.95,2.6,Intact,No Ligand,Out,Packed,DFGin,BLBplus,NTout,CTin,56.78,20.62,13.14,NA,NA,5.53,13.15,14.17,NA,NA,NA,NA,3.42,7.31,7.09,10.36,4.06,9.56,3.93,3.96,3.08,3.61,0.81,0.84,10.52,10.87,10.7,a-csk-wtcat-apo_b-src-wtcat-apo,"csk-wtcat-apo
src-wtcat-apo",apo,"csk-wtcat-apo
src-wtcat-apo",FALSE,TRUE,Apo,"csk-wtcat-apo
src-wtcat-apo","csk-wtcat-apo
src-wtcat-apo
[CSK = Apo]","csk-wtcat-apo
src-wtcat-apo
[CSK = Apo]",State 2,Other,Other,Intact,DFGin
a-csk-wtcat-apo_b-src-wtcat-apo_seed-1035224_sample-3_model,a-csk-wtcat-apo_b-src-wtcat-apo/seed-1035224_sample-3,model.cif,A,CSK-WT,Inactive (BLBplus),N-lobe Receiver,B,NA,NA,NA,9.03,2.6,Intact,No Ligand,Out,Packed,DFGin,BLBplus,NTout,CTin,58.06,20.46,13.07,NA,NA,5.35,13.4,14.81,NA,NA,NA,NA,3.49,7.52,7.03,10.21,4.13,9.48,4.02,3.56,3.15,3.63,0.81,0.84,10.6,10.91,10.75,a-csk-wtcat-apo_b-src-wtcat-apo,"csk-wtcat-apo
src-wtcat-apo",apo,"csk-wtcat-apo
src-wtcat-apo",FALSE,TRUE,Apo,"csk-wtcat-apo
src-wtcat-apo","csk-wtcat-apo
src-wtcat-apo
[CSK = Apo]","csk-wtcat-apo
src-wtcat-apo
[CSK = Apo]",State 1,Other,Other,Intact,DFGin
a-csk-wtcat-apo_b-src-wtcat-apo_seed-1035224_sample-4_model,a-csk-wtcat-apo_b-src-wtcat-apo/seed-1035224_sample-4,model.cif,A,CSK-WT,Inactive (BLBplus),N-lobe Receiver,B,NA,NA,NA,9.44,2.52,Intact,No Ligand,Out,Packed,DFGin,BLBplus,NTout,CTin,56.05,18.48,13.18,NA,NA,5.3,13.26,13.79,NA,NA,NA,NA,3.41,7.42,7.07,10.28,4.07,9.55,3.96,3.56,3.14,3.63,0.8,0.84,10.75,10.93,10.84,a-csk-wtcat-apo_b-src-wtcat-apo,"csk-wtcat-apo
src-wtcat-apo",apo,"csk-wtcat-apo
src-wtcat-apo",FALSE,TRUE,Apo,"csk-wtcat-apo
src-wtcat-apo","csk-wtcat-apo
src-wtcat-apo
[CSK = Apo]","csk-wtcat-apo
src-wtcat-apo
[CSK = Apo]",State 1,Other,Other,Intact,DFGin
a-csk-wtcat-apo_b-src-wtcat-apo_seed-105622_sample-0_model,a-csk-wtcat-apo_b-src-wtcat-apo/seed-105622_sample-0,model.cif,A,CSK-WT,Inactive (BLBplus),N-lobe Receiver,B,NA,NA,NA,9.18,2.65,Intact,No Ligand,Out,Packed,DFGin,BLBplus,NTout,CTin,60.01,16,13.16,NA,NA,5.39,13.44,14.02,NA,NA,NA,NA,3.48,7.61,7.1,10.39,4.09,9.65,4.07,3.58,3.32,3.66,0.82,0.85,10.38,10.6,10.49,a-csk-wtcat-apo_b-src-wtcat-apo,"csk-wtcat-apo
src-wtcat-apo",apo,"csk-wtcat-apo
src-wtcat-apo",FALSE,TRUE,Apo,"csk-wtcat-apo
src-wtcat-apo","csk-wtcat-apo
src-wtcat-apo
[CSK = Apo]","csk-wtcat-apo
src-wtcat-apo
[CSK = Apo]",State 1,Other,Other,Intact,DFGin
a-csk-wtcat-apo_b-src-wtcat-apo_seed-105622_sample-1_model,a-csk-wtcat-apo_b-src-wtcat-apo/seed-105622_sample-1,model.cif,A,CSK-WT,Inactive (BLBplus),N-lobe Receiver,B,NA,NA,NA,8.73,2.46,Intact,No Ligand,Out,Packed,DFGin,BLBplus,NTout,CTin,57.07,18.48,13.07,NA,NA,5.35,13.27,13.78,NA,NA,NA,NA,3.47,7.49,7.07,10.36,4.06,9.52,4.01,3.64,3.2,3.61,0.8,0.84,10.75,11.08,10.91,a-csk-wtcat-apo_b-src-wtcat-apo,"csk-wtcat-apo
src-wtcat-apo",apo,"csk-wtcat-apo
src-wtcat-apo",FALSE,TRUE,Apo,"csk-wtcat-apo
src-wtcat-apo","csk-wtcat-apo
src-wtcat-apo
[CSK = Apo]","csk-wtcat-apo
src-wtcat-apo
[CSK = Apo]",State 1,Other,Other,Intact,DFGin
a-csk-wtcat-apo_b-src-wtcat-apo_seed-105622_sample-2_model,a-csk-wtcat-apo_b-src-wtcat-apo/seed-105622_sample-2,model.cif,A,CSK-WT,Inactive (BLBplus),N-lobe Receiver,B,NA,NA,NA,9.33,2.53,Intact,No Ligand,Out,Packed,DFGin,BLBplus,NTout,CTin,56.8,17.85,13.26,NA,NA,5.19,13.45,14.12,NA,NA,NA,NA,3.4,7.47,7.03,10.33,3.96,9.54,4.05,3.74,3.29,3.6,0.81,0.84,10.6,10.79,10.7,a-csk-wtcat-apo_b-src-wtcat-apo,"csk-wtcat-apo
src-wtcat-apo",apo,"csk-wtcat-apo
src-wtcat-apo",FALSE,TRUE,Apo,"csk-wtcat-apo
src-wtcat-apo","csk-wtcat-apo
src-wtcat-apo
[CSK = Apo]","csk-wtcat-apo
src-wtcat-apo
[CSK = Apo]",State 1,Other,Other,Intact,DFGin
a-csk-wtcat-apo_b-src-wtcat-apo_seed-105622_sample-3_model,a-csk-wtcat-apo_b-src-wtcat-apo/seed-105622_sample-3,model.cif,A,CSK-WT,Inactive (BLBplus),N-lobe Receiver,B,NA,NA,NA,9.98,2.5,Intact,No Ligand,Out,Packed,DFGin,BLBplus,NTout,CTin,56.53,18.25,13.46,NA,NA,5.53,13.47,14,NA,NA,NA,NA,3.4,7.54,7.07,10.51,4.06,9.6,4.01,3.57,3.13,3.63,0.81,0.84,10.53,10.77,10.65,a-csk-wtcat-apo_b-src-wtcat-apo,"csk-wtcat-apo
src-wtcat-apo",apo,"csk-wtcat-apo
src-wtcat-apo",FALSE,TRUE,Apo,"csk-wtcat-apo
src-wtcat-apo","csk-wtcat-apo
src-wtcat-apo
[CSK = Apo]","csk-wtcat-apo
src-wtcat-apo
[CSK = Apo]",State 1,Other,Other,Intact,DFGin
a-csk-wtcat-apo_b-src-wtcat-apo_seed-105622_sample-4_model,a-csk-wtcat-apo_b-src-wtcat-apo/seed-105622_sample-4,model.cif,A,CSK-WT,Inactive (BLBplus),N-lobe Receiver,B,NA,NA,NA,9.49,2.52,Intact,No Ligand,Out,Packed,DFGin,BLBplus,NTout,CTin,57.24,19.57,13.41,NA,NA,5.43,13.34,14.04,NA,NA,NA,NA,3.48,7.46,7.05,10.26,4.04,9.52,3.95,4.04,3.2,3.63,0.81,0.84,10.5,10.67,10.59,a-csk-wtcat-apo_b-src-wtcat-apo,"csk-wtcat-apo
src-wtcat-apo",apo,"csk-wtcat-apo
src-wtcat-apo",FALSE,TRUE,Apo,"csk-wtcat-apo
src-wtcat-apo","csk-wtcat-apo
src-wtcat-apo
[CSK = Apo]","csk-wtcat-apo
src-wtcat-apo
[CSK = Apo]",State 2,Other,Other,Intact,DFGin
a-csk-wtcat-apo_b-src-wtcat-apo_seed-1076889_sample-0_model,a-csk-wtcat-apo_b-src-wtcat-apo/seed-1076889_sample-0,model.cif,A,CSK-WT,Inactive (BLBplus),N-lobe Receiver,B,NA,NA,NA,9.37,2.58,Intact,No Ligand,Out,Packed,DFGin,BLBplus,NTout,CTin,57.11,20.56,12.51,NA,NA,5.18,13.15,14.04,NA,NA,NA,NA,3.47,7.48,7.04,10.26,4.07,9.49,3.94,3.66,3.16,3.62,0.82,0.85,10.32,10.64,10.48,a-csk-wtcat-apo_b-src-wtcat-apo,"csk-wtcat-apo
src-wtcat-apo",apo,"csk-wtcat-apo
src-wtcat-apo",FALSE,TRUE,Apo,"csk-wtcat-apo
src-wtcat-apo","csk-wtcat-apo
src-wtcat-apo
[CSK = Apo]","csk-wtcat-apo
src-wtcat-apo
[CSK = Apo]",State 1,Other,Other,Intact,DFGin
a-csk-wtcat-apo_b-src-wtcat-apo_seed-1076889_sample-1_model,a-csk-wtcat-apo_b-src-wtcat-apo/seed-1076889_sample-1,model.cif,A,CSK-WT,Inactive (BLBplus),N-lobe Receiver,B,NA,NA,NA,9.28,2.56,Intact,No Ligand,Out,Packed,DFGin,BLBplus,NTout,CTin,57.9,17.38,12.88,NA,NA,5.46,13.43,14.61,NA,NA,NA,NA,3.43,7.43,7.07,10.29,4.14,9.55,3.93,3.67,3.18,3.63,0.81,0.84,10.37,10.77,10.57,a-csk-wtcat-apo_b-src-wtcat-apo,"csk-wtcat-apo
src-wtcat-apo",apo,"csk-wtcat-apo
src-wtcat-apo",FALSE,TRUE,Apo,"csk-wtcat-apo
src-wtcat-apo","csk-wtcat-apo
src-wtcat-apo
[CSK = Apo]","csk-wtcat-apo
src-wtcat-apo
[CSK = Apo]",State 1,Other,Other,Intact,DFGin
a-csk-wtcat-apo_b-src-wtcat-apo_seed-1076889_sample-2_model,a-csk-wtcat-apo_b-src-wtcat-apo/seed-1076889_sample-2,model.cif,A,CSK-WT,Inactive (BLBplus),N-lobe Receiver,B,NA,NA,NA,10.51,2.58,Intact,No Ligand,Out,Packed,DFGin,BLBplus,NTout,CTin,59.6,18.75,12.41,NA,NA,5.43,13.13,14.15,NA,NA,NA,NA,3.47,7.53,7.09,10.37,4.05,9.51,4.05,3.64,3.17,3.63,0.81,0.84,10.52,10.87,10.7,a-csk-wtcat-apo_b-src-wtcat-apo,"csk-wtcat-apo
src-wtcat-apo",apo,"csk-wtcat-apo
src-wtcat-apo",FALSE,TRUE,Apo,"csk-wtcat-apo
src-wtcat-apo","csk-wtcat-apo
src-wtcat-apo
[CSK = Apo]","csk-wtcat-apo
src-wtcat-apo
[CSK = Apo]",State 1,Other,Other,Intact,DFGin
a-csk-wtcat-apo_b-src-wtcat-apo_seed-1076889_sample-3_model,a-csk-wtcat-apo_b-src-wtcat-apo/seed-1076889_sample-3,model.cif,A,CSK-WT,Inactive (BLBplus),N-lobe Receiver,B,NA,NA,NA,10.62,2.55,Intact,No Ligand,Out,Packed,DFGin,BLBplus,NTout,CTin,58.21,18.81,12.24,NA,NA,5.32,13.01,13.82,NA,NA,NA,NA,3.49,7.61,7.07,10.27,4.02,9.55,4.04,3.7,3.1,3.62,0.81,0.85,10.4,10.74,10.57,a-csk-wtcat-apo_b-src-wtcat-apo,"csk-wtcat-apo
src-wtcat-apo",apo,"csk-wtcat-apo
src-wtcat-apo",FALSE,TRUE,Apo,"csk-wtcat-apo
src-wtcat-apo","csk-wtcat-apo
src-wtcat-apo
[CSK = Apo]","csk-wtcat-apo
src-wtcat-apo
[CSK = Apo]",State 1,Other,Other,Intact,DFGin
a-csk-wtcat-apo_b-src-wtcat-apo_seed-1076889_sample-4_model,a-csk-wtcat-apo_b-src-wtcat-apo/seed-1076889_sample-4,model.cif,A,CSK-WT,Inactive (BLBplus),N-lobe Receiver,B,NA,NA,NA,9.69,2.5,Intact,No Ligand,Out,Packed,DFGin,BLBplus,NTout,CTin,57.5,16.45,12.73,NA,NA,5.38,13.28,13.62,NA,NA,NA,NA,3.44,7.61,7.01,10.27,4.13,9.64,4.08,3.57,3.36,3.65,0.81,0.84,10.47,10.89,10.68,a-csk-wtcat-apo_b-src-wtcat-apo,"csk-wtcat-apo
src-wtcat-apo",apo,"csk-wtcat-apo
src-wtcat-apo",FALSE,TRUE,Apo,"csk-wtcat-apo
src-wtcat-apo","csk-wtcat-apo
src-wtcat-apo
[CSK = Apo]","csk-wtcat-apo
src-wtcat-apo
[CSK = Apo]",State 1,Other,Other,Intact,DFGin
a-csk-wtcat-apo_b-src-wtcat-apo_seed-1157563_sample-0_model,a-csk-wtcat-apo_b-src-wtcat-apo/seed-1157563_sample-0,model.cif,A,CSK-WT,Inactive (BLBplus),N-lobe Receiver,B,NA,NA,NA,9.53,2.56,Intact,No Ligand,Out,Packed,DFGin,BLBplus,NTout,CTin,57.51,17.36,12.67,NA,NA,5.33,13.06,13.26,NA,NA,NA,NA,3.49,7.49,7.06,10.33,4.01,9.51,4.05,3.59,3.17,3.63,0.81,0.84,10.53,10.88,10.71,a-csk-wtcat-apo_b-src-wtcat-apo,"csk-wtcat-apo
src-wtcat-apo",apo,"csk-wtcat-apo
src-wtcat-apo",FALSE,TRUE,Apo,"csk-wtcat-apo
src-wtcat-apo","csk-wtcat-apo
src-wtcat-apo
[CSK = Apo]","csk-wtcat-apo
src-wtcat-apo
[CSK = Apo]",State 1,Other,Other,Intact,DFGin
a-csk-wtcat-apo_b-src-wtcat-apo_seed-1157563_sample-1_model,a-csk-wtcat-apo_b-src-wtcat-apo/seed-1157563_sample-1,model.cif,A,CSK-WT,Active (BLAminus),N-lobe Receiver,B,NA,NA,NA,9.91,2.53,Broken,No Ligand,Out,Packed,DFGin,BLAminus,NTin,CTin,60.77,59.47,14.25,NA,NA,6.77,13.77,14.6,NA,NA,NA,NA,3.5,7.64,7.08,9.91,4.07,8.52,4.28,3.7,3.91,3.63,0.81,0.84,10.56,10.75,10.66,a-csk-wtcat-apo_b-src-wtcat-apo,"csk-wtcat-apo
src-wtcat-apo",apo,"csk-wtcat-apo
src-wtcat-apo",FALSE,TRUE,Apo,"csk-wtcat-apo
src-wtcat-apo","csk-wtcat-apo
src-wtcat-apo
[CSK = Apo]","csk-wtcat-apo
src-wtcat-apo
[CSK = Apo]",State 9,Active (BLAminus),Other,Other,DFGin
a-csk-wtcat-apo_b-src-wtcat-apo_seed-1157563_sample-2_model,a-csk-wtcat-apo_b-src-wtcat-apo/seed-1157563_sample-2,model.cif,A,CSK-WT,Inactive (BLBplus),N-lobe Receiver,B,NA,NA,NA,9.56,2.51,Intact,No Ligand,Out,Packed,DFGin,BLBplus,NTout,CTin,59.13,15.83,12.92,NA,NA,5.29,13.26,15.2,NA,NA,NA,NA,3.5,7.52,7.03,10.3,3.95,9.56,4.06,3.64,3.24,3.62,0.81,0.84,10.51,10.9,10.71,a-csk-wtcat-apo_b-src-wtcat-apo,"csk-wtcat-apo
src-wtcat-apo",apo,"csk-wtcat-apo
src-wtcat-apo",FALSE,TRUE,Apo,"csk-wtcat-apo
src-wtcat-apo","csk-wtcat-apo
src-wtcat-apo
[CSK = Apo]","csk-wtcat-apo
src-wtcat-apo
[CSK = Apo]",State 1,Other,Other,Intact,DFGin
a-csk-wtcat-apo_b-src-wtcat-apo_seed-1157563_sample-3_model,a-csk-wtcat-apo_b-src-wtcat-apo/seed-1157563_sample-3,model.cif,A,CSK-WT,Inactive (BLBplus),N-lobe Receiver,B,NA,NA,NA,10.5,2.52,Intact,No Ligand,Out,Packed,DFGin,BLBplus,NTout,CTin,58.08,15.46,12.54,NA,NA,5.83,13.03,13.82,NA,NA,NA,NA,3.44,7.52,7.03,10.28,3.93,9.49,4,3.57,3.22,3.58,0.81,0.84,10.49,10.68,10.59,a-csk-wtcat-apo_b-src-wtcat-apo,"csk-wtcat-apo
src-wtcat-apo",apo,"csk-wtcat-apo
src-wtcat-apo",FALSE,TRUE,Apo,"csk-wtcat-apo
src-wtcat-apo","csk-wtcat-apo
src-wtcat-apo
[CSK = Apo]","csk-wtcat-apo
src-wtcat-apo
[CSK = Apo]",State 1,Other,Other,Intact,DFGin
a-csk-wtcat-apo_b-src-wtcat-apo_seed-1157563_sample-4_model,a-csk-wtcat-apo_b-src-wtcat-apo/seed-1157563_sample-4,model.cif,A,CSK-WT,Inactive (BLBplus),N-lobe Receiver,B,NA,NA,NA,9.53,2.51,Intact,No Ligand,Out,Packed,DFGin,BLBplus,NTout,CTin,57.34,18.5,13.6,NA,NA,5.27,13.13,13.35,NA,NA,NA,NA,3.5,7.47,7.1,10.31,4.08,9.41,4.03,3.63,3.15,3.63,0.8,0.84,10.67,11,10.84,a-csk-wtcat-apo_b-src-wtcat-apo,"csk-wtcat-apo
src-wtcat-apo",apo,"csk-wtcat-apo
src-wtcat-apo",FALSE,TRUE,Apo,"csk-wtcat-apo
src-wtcat-apo","csk-wtcat-apo
src-wtcat-apo
[CSK = Apo]","csk-wtcat-apo
src-wtcat-apo
[CSK = Apo]",State 1,Other,Other,Intact,DFGin
